Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Bruno Fernando,C,23,TOT,30,152,0.655,4,NA,0.964,0.618,0.291,0.036,0.018,0.036,NA,0.66,0.676,0.625,0.5,1,0.5,NA,0.714,1,NA,0.309,17,NA,0.5,0,NA,0,0,fernabr01
Malik Fitts,PF,24,TOT,15,63,0.421,16.7,NA,0.474,0.211,0.158,0.053,0.053,0.526,NA,0.333,0.75,0,0,0,0.5,NA,1,1,NA,0.053,1,NA,0.5,0.6,NA,1,1,fittsma01
Bryn Forbes,SG,28,TOT,75,1286,0.429,19.5,NA,0.453,0.043,0.137,0.109,0.163,0.547,NA,0.447,0.609,0.432,0.525,0.364,0.414,NA,0.697,0.959,NA,0,0,NA,0.173,0.569,NA,0,0,forbebr01
Tim Frazier,PG,31,TOT,12,208,0.311,17.4,NA,0.622,0.067,0.178,0.133,0.244,0.378,NA,0.286,1,0.25,0.167,0.182,0.353,NA,0.375,0.833,NA,0,0,NA,0.235,0.25,NA,0,0,fraziti01
Wenyen Gabriel,PF,24,TOT,26,358,0.491,8.5,NA,0.745,0.473,0.245,0.018,0.009,0.255,NA,0.561,0.692,0.37,0,0,0.286,NA,0.543,1,NA,0.136,13,NA,0.571,0.25,NA,0,0,gabriwe01
Langston Galloway,SG,30,TOT,7,107,0.231,19.4,NA,0.385,0.115,0.038,0.115,0.115,0.615,NA,0.4,0.333,0,0.667,0.333,0.125,NA,0.5,0.5,NA,0,0,NA,0.375,0,NA,0,0,gallola01
Tyrese Haliburton,SG-PG,21,TOT,77,2695,0.473,16.7,NA,0.572,0.13,0.183,0.158,0.101,0.428,NA,0.517,0.712,0.41,0.521,0.457,0.414,NA,0.279,0.584,NA,0.028,25,NA,0.139,0.444,NA,9,0,halibty01
James Harden,PG,32,TOT,65,2419,0.41,14.6,NA,0.548,0.231,0.232,0.061,0.024,0.452,NA,0.476,0.598,0.37,0.426,0.458,0.33,NA,0.189,0.257,NA,0.006,6,NA,0.049,0.273,NA,0,0,hardeja01
Montrezl Harrell,C,28,TOT,71,1641,0.645,4.8,NA,0.969,0.582,0.274,0.079,0.034,0.031,NA,0.658,0.771,0.533,0.409,0.316,0.235,NA,0.653,1,NA,0.286,150,NA,0.118,0.5,NA,2,0,harremo01
Josh Hart,SG,26,TOT,54,1791,0.504,12.4,NA,0.626,0.399,0.134,0.06,0.033,0.374,NA,0.601,0.705,0.434,0.382,0.421,0.343,NA,0.472,0.74,NA,0.035,19,NA,0.169,0.583,NA,0,0,hartjo01
Juancho Hernangómez,PF,26,TOT,40,445,0.415,17.2,NA,0.349,0.217,0.123,0.009,0,0.651,NA,0.541,0.696,0.308,0,NA,0.348,NA,0.8,1,NA,0.057,5,NA,0.362,0.4,NA,0,0,hernaju01
Buddy Hield,SG,29,TOT,81,2499,0.406,19.7,NA,0.348,0.132,0.083,0.069,0.064,0.652,NA,0.482,0.593,0.385,0.421,0.443,0.366,NA,0.44,0.847,NA,0.006,7,NA,0.154,0.391,NA,2,1,hieldbu01
Malcolm Hill,SF-SG,26,TOT,19,212,0.462,19.5,NA,0.308,0.115,0.115,0.019,0.058,0.692,NA,0.688,0.667,0.667,0,1,0.361,NA,0.636,0.846,NA,0,0,NA,0.306,0.636,NA,0,0,hillma01
Aaron Holiday,PG,25,TOT,63,1021,0.447,13.1,NA,0.695,0.175,0.299,0.166,0.056,0.305,NA,0.477,0.61,0.475,0.411,0.263,0.379,NA,0.348,0.718,NA,0.003,0,NA,0.155,0.438,NA,0,0,holidaa01
Justin Holiday,SF-SG,32,TOT,74,2057,0.394,20.7,NA,0.272,0.104,0.048,0.044,0.076,0.728,NA,0.467,0.594,0.344,0.483,0.36,0.367,NA,0.786,0.96,NA,0.021,12,NA,0.288,0.388,NA,1,0,holidju01
Rodney Hood,PF-SF,29,TOT,52,709,0.369,19.6,NA,0.42,0.089,0.096,0.102,0.134,0.58,NA,0.424,0.857,0.267,0.438,0.238,0.33,NA,0.536,0.833,NA,0.006,1,NA,0.286,0.346,NA,0,0,hoodro01
Danuel House Jr.,SF,28,TOT,42,727,0.404,16.9,NA,0.409,0.207,0.116,0.045,0.04,0.591,NA,0.444,0.634,0.174,0.333,0.375,0.376,NA,0.75,0.932,NA,0.061,7,NA,0.521,0.377,NA,1,0,houseda01
Elijah Hughes,SG-SF,23,TOT,36,434,0.326,20.1,NA,0.34,0.09,0.09,0.125,0.035,0.66,NA,0.449,0.692,0.615,0.278,0,0.263,NA,0.5,0.84,NA,0.021,2,NA,0.274,0.231,NA,2,0,hugheel01
